iter	Passed	Remaining
0	147	147100
1	150	75322
2	154	51370
3	158	39392
4	162	32263
5	166	27502
6	168	23871
7	170	21109
8	172	19008
9	174	17260
10	176	15841
11	178	14662
12	179	13647
13	181	12775
14	183	12026
15	184	11368
16	186	10784
17	187	10256
18	189	9781
19	190	9353
20	192	8969
21	194	8630
22	195	8309
23	197	8018
24	198	7749
25	200	7496
26	201	7266
27	203	7053
28	204	6856
29	206	6669
30	207	6499
31	209	6345
32	211	6190
33	212	6046
34	214	5910
35	216	5789
36	217	5672
37	219	5557
38	221	5454
39	223	5356
40	224	5262
41	226	5175
42	228	5087
43	230	5003
44	232	4925
45	233	4849
46	235	4773
47	237	4708
48	239	4645
49	241	4585
50	243	4529
51	245	4477
52	247	4428
53	249	4377
54	252	4331
55	254	4285
56	256	4245
57	258	4203
58	261	4163
59	263	4121
60	265	4084
61	267	4048
62	269	4013
63	271	3977
64	274	3944
65	276	3912
66	278	3882
67	280	3851
68	283	3822
69	285	3791
70	287	3767
71	290	3743
72	292	3719
73	294	3690
74	297	3668
75	299	3644
76	302	3621
77	304	3597
78	306	3573
79	308	3549
80	310	3527
81	313	3504
82	315	3483
83	317	3460
84	319	3441
85	321	3421
86	323	3399
87	326	3384
88	328	3367
89	331	3348
90	333	3329
91	335	3313
92	337	3295
93	340	3277
94	342	3259
95	344	3243
96	346	3229
97	349	3213
98	351	3195
99	353	3178
100	355	3162
101	357	3146
102	359	3131
103	361	3113
104	363	3096
105	365	3079
106	366	3061
107	368	3046
108	370	3031
109	372	3015
110	374	2999
111	376	2984
112	378	2967
113	379	2952
114	381	2936
115	383	2922
116	385	2907
117	387	2894
118	388	2879
119	390	2866
120	392	2852
121	394	2838
122	396	2824
123	397	2810
124	399	2796
125	401	2784
126	403	2773
127	405	2760
128	407	2748
129	408	2736
130	410	2723
131	412	2710
132	413	2697
133	415	2686
134	417	2675
135	419	2663
136	420	2651
137	422	2640
138	424	2629
139	426	2619
140	428	2608
141	429	2597
142	431	2587
143	433	2577
144	435	2567
145	437	2557
146	438	2546
147	440	2537
148	442	2526
149	444	2517
150	446	2508
151	448	2500
152	450	2492
153	452	2483
154	454	2475
155	456	2467
156	458	2460
157	460	2451
158	461	2442
159	463	2434
160	465	2426
161	467	2418
162	469	2410
163	471	2401
164	472	2393
165	474	2385
166	476	2377
167	478	2370
168	480	2361
169	482	2354
170	484	2346
171	485	2338
172	487	2330
173	489	2322
174	491	2314
175	493	2308
176	495	2302
177	497	2296
178	499	2290
179	501	2283
180	503	2278
181	505	2272
182	507	2266
183	509	2259
